kernel,variant,n,latency_median_us,latency_p95_us,bandwidth_gb_s,abs_error,rel_error,baseline_ratio,gpu_name,cuda_runtime_version,commit_hash
reduction,naive_global,1048576,125.4880056,164.192006,100.2717984,0.01214754669,2.318380052e-08,10.37433917,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,shared_interleaved,1048576,27.11999975,49.44000021,155.2629808,0.01910245331,3.645735871e-08,2.242063489,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,shared_sequential,1048576,26.44800022,44.89599913,159.2079539,0.01214754669,2.318380052e-08,2.186507972,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,warp_shuffle,1048576,19.91999988,48.57600108,211.3821298,0.01910245331,3.645735871e-08,1.6468254,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,vectorized_float4,1048576,19.76000052,47.71199822,212.6783345,0.01910245331,3.645735871e-08,1.63359794,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,cub_baseline,1048576,12.0959999,32.25599974,346.7516562,0.01214754669,2.318380052e-08,1,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,naive_global,16777216,458.7679952,490.5599952,438.8418331,0.2166625597,2.582164934e-08,2.743827615,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,shared_interleaved,16777216,196.1119995,199.7759938,343.5360008,0.2166625597,2.582164934e-08,1.172918611,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,shared_sequential,16777216,192.2239959,196.5440065,350.4845047,0.2166625597,2.582164934e-08,1.149665002,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,warp_shuffle,16777216,172.480002,184.5120043,390.6048887,0.7833374403,9.335745287e-08,1.031578919,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,vectorized_float4,16777216,172.3679975,175.9359986,389.5253701,0.7833374403,9.335745287e-08,1.030909035,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,cub_baseline,16777216,167.2000065,182.4959964,401.368812,0.2166625597,2.582164934e-08,1,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,naive_global,67108864,1992.256045,2045.919895,404.2183061,1.155119803,3.442534423e-08,3.117030183,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,shared_interleaved,67108864,737.1839881,754.783988,365.5615102,1.155119803,3.442534423e-08,1.153378225,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,shared_sequential,67108864,721.1199999,730.783999,373.7049202,1.155119803,3.442534423e-08,1.128244941,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,warp_shuffle,67108864,646.592021,664.0319824,416.7791795,0.8448801972,2.517945892e-08,1.011640472,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,vectorized_float4,67108864,643.2159841,660.3839993,417.3843726,0.8448801972,2.517945892e-08,1.006358415,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
reduction,cub_baseline,67108864,639.1519904,659.4240069,419.9868952,1.155119803,3.442534423e-08,1,NVIDIA GeForce RTX 5060 Ti,13.2,unknown
