kernel,variant,rows,cols,latency_median_us,latency_p95_us,bandwidth_gb_s,max_abs_error,max_rel_error,max_row_sum_error,baseline_ratio,gpu_name,cuda_runtime_version,commit_hash
softmax,naive,4096,128,29.05599959,45.50400004,216.5286374,4.261725935e-08,7.736328632e-07,6.573936844e-07,0.8024745792,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,stable_two_pass,4096,128,36.20800003,52.41600052,231.6783029,4.467263601e-08,9.484457293e-07,6.073441909e-07,1,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,block_reduce,4096,128,47.64800146,50.65599829,176.0537219,1.33545618e-08,4.924956992e-07,1.602293196e-07,1.315952315,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,warp_small_row,4096,128,10.36799978,28.92800048,809.0864366,1.358760054e-08,4.924956992e-07,1.412863639e-07,0.2863455528,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,naive,4096,512,100.6079987,109.0560034,250.1374079,2.080695207e-08,1.279423175e-06,1.140637778e-06,0.804709448,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,stable_two_pass,4096,512,125.0240058,141.7600065,268.3839139,1.974259728e-08,1.545079688e-06,1.216165401e-06,1,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,block_reduce,4096,512,53.44000086,55.23199961,627.8898102,3.340429246e-09,5.098644972e-07,1.52343091e-07,0.4274379191,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,warp_small_row,4096,512,20.25599964,32.03200176,1656.518197,3.855019576e-09,5.397656429e-07,1.75479272e-07,0.1620168824,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,naive,4096,1024,193.2479963,196.352005,260.4510731,1.421844931e-08,1.83575157e-06,1.689710416e-06,0.7944484464,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,stable_two_pass,4096,1024,243.2480007,247.5520074,275.8866005,1.221485248e-08,1.841952763e-06,1.482567313e-06,1,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,block_reduce,4096,1024,66.46399945,86.65599674,1009.702464,1.590226388e-09,5.143566691e-07,1.588673513e-07,0.2732355425,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,warp_small_row,4096,1024,45.64800113,64.80000168,1470.138064,1.958800033e-09,5.477278315e-07,2.019933163e-07,0.1876603343,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,naive,1024,4096,730.1440239,902.8159976,68.93386284,7.043033519e-09,3.837401178e-06,3.658493938e-06,0.7956828411,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,stable_two_pass,1024,4096,917.6319838,1100.736022,73.13265578,5.982558308e-09,3.329482876e-06,2.962015401e-06,1,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,block_reduce,1024,4096,56.04799837,62.97600269,1197.346309,4.303151923e-10,5.249813505e-07,1.337249387e-07,0.06107895034,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
softmax,warp_small_row,1024,4096,48.49600047,64.76800144,1383.802032,4.911223503e-10,5.511743613e-07,1.634575142e-07,0.05284907384,NVIDIA GeForce RTX 5060 Ti,13.2,231cc47
